sku,title,category,subcategory,price,stock,lowStockAt,upc,mpn,shipWeightOz,condition
DTF-ROLL-30-100,DTF Hot Peel Film Roll 0.3 x 100m,printing-supplies,film,80,,5,,DTF-ROLL-30-100,96,new
DTF-GLIT-A4-SILVER,DTF Glitter Transfer Film Sheet A4 — Glitter Silver,printing-supplies,film,60,,5,,DTF-GLIT-A4-SILVER,24,new
DTF-GLIT-A3-GOLD,"DTF Glitter Transfer Film Sheet A3 — Glitter Gold, 50 Sheets",printing-supplies,film,60,,5,,DTF-GLIT-A3-GOLD,24,new
DTF-POWDER-500,OtterPro DTF Powder — 500 g,printing-supplies,powder,15,,5,,DTF-POWDER-500,20,new
DTF-INK-CYAN-500,"DTF Transfer Pigment Ink — Cyan, 500 ml",printing-supplies,ink,18,,5,,DTF-INK-CYAN-500,20,new
HTP-DARK-100,"Heat Transfer Paper for Dark Cotton — 8.5 x 11.75 in, 100 Sheets",printing-supplies,transfer-paper,70,,5,,HTP-DARK-100,36,new
HTP-DARK-50,"Heat Transfer Paper for Dark T-Shirts — 8.5 x 11.75 in, 50 Sheets",printing-supplies,transfer-paper,35,,5,,HTP-DARK-50,18,new
HTP-LIGHT-50,Inkjet Printable Iron-On Transfer Paper for Light Fabrics — 50 Sheets,printing-supplies,transfer-paper,25,,5,,HTP-LIGHT-50,18,new
HTV-CHAM-12,"HTVRONT Chameleon Heat Transfer Vinyl Bundle — 12 x 10 in, 12 Pack",printing-supplies,vinyl,22,,5,,HTV-CHAM-12,10,new
CH001,Gold Plated Chain 35 in — CH001,jewelry,chains,16,,5,,CH001,1,new
CH002,Gold Plated Chain 21 in — CH002,jewelry,chains,11,,5,,CH002,1,new
CH003,Gold Plated Chain 35 in — CH003,jewelry,chains,11,,5,,CH003,1,new
CH004,Gold Plated Chain 33 in — CH004,jewelry,chains,21,,5,,CH004,1,new
CH005,Gold Plated Chain 33 in — CH005,jewelry,chains,21,,5,,CH005,1,new
CH006,Gold Plated Chain 33 in — CH006,jewelry,chains,16,,5,,CH006,1,new
CH007,Gold Plated Chain 33 in — CH007,jewelry,chains,18,,5,,CH007,1,new
PEN001,Gold Plated Pendant — PEN001,jewelry,pendants,11,,5,,PEN001,1,new
PEN002,Gold Plated Pendant — PEN002,jewelry,pendants,11,,5,,PEN002,1,new
PEN003,Gold Plated Pendant — PEN003,jewelry,pendants,11,,5,,PEN003,1,new
PEN004,Gold Plated Pendant — PEN004,jewelry,pendants,11,,5,,PEN004,1,new
PEN007,Gold Plated Pendant — PEN007,jewelry,pendants,10,,5,,PEN007,1,new
PEN009,Gold Plated Pendant — PEN009,jewelry,pendants,10,,5,,PEN009,1,new
PEN010,Gold Plated Pendant — PEN010,jewelry,pendants,10,,5,,PEN010,1,new
PEN011,Gold Plated Pendant — PEN011,jewelry,pendants,10,,5,,PEN011,1,new
PEN017,Gold Plated Pendant — PEN017,jewelry,pendants,10,,5,,PEN017,1,new
PND001,Lord Krishna Pendant — PND001,jewelry,pendants,5.99,,5,,PND001,1,new
PND002,Fish Pendant — PND002,jewelry,pendants,7.99,,5,,PND002,1,new
PND003,Flower with Ganesha Pendant — PND003,jewelry,pendants,7.99,,5,,PND003,1,new
PND004,Peacock Pendant — PND004,jewelry,pendants,6.99,,5,,PND004,1,new
PND005,Small Fish Pendant — PND005,jewelry,pendants,2.99,,5,,PND005,1,new
PND006,Small Butterfly Pendant — PND006,jewelry,pendants,2.99,,5,,PND006,1,new
PND007,Small Leaf Pendant — PND007,jewelry,pendants,2.99,,5,,PND007,1,new
ER001,Gold Plated Earrings — ER001,jewelry,earrings,8.99,,5,,ER001,4,new
ER002,Gold Plated Earrings — ER002,jewelry,earrings,7.99,,5,,ER002,4,new
ER003,Gold Plated Earrings — ER003,jewelry,earrings,8.99,,5,,ER003,4,new
ER004,Gold Plated Earrings — ER004,jewelry,earrings,7.99,,5,,ER004,4,new
ER005,Gold Plated Earrings — ER005,jewelry,earrings,8.99,,5,,ER005,4,new
BJ004,"Butterfly, Love & Flower Stud Earrings — 30 Pairs",jewelry,earrings,12,,5,,BJ004,4,new
BJ005,"Faux Pearl Stud Earrings, Gold — 30 Pairs",jewelry,earrings,14,,5,,BJ005,4,new
BJ006,"Flower & Butterfly Stud Earrings, Multicolour — 30 Pairs",jewelry,earrings,14,,5,,BJ006,4,new
BJ007,"Flower & Rhinestone Stud Earrings, Gold — 30 Pairs",jewelry,earrings,14,,5,,BJ007,4,new
BJ100PAIR,"Flower & Heart Stud Earrings, Assorted — 100 Pairs",jewelry,earrings,16.99,,5,,BJ100PAIR,4,new
WBG006,Women's Gold Plated Bangles — WBG006,jewelry,bangles,25,,5,,WBG006,2,new
BJ001,Simple Nose Rings — 12 Pieces,jewelry,rings,12,,5,,BJ001,4,new
BJ002,Rhinestone Nose Rings — 40 Pieces,jewelry,rings,10,,5,,BJ002,4,new
BJ002A,Rhinestone Nose Rings — 60 Pieces,jewelry,rings,12,,5,,BJ002A,4,new
BJ003,Surgical Steel Nose Studs — 40 Pieces,jewelry,rings,12,,5,,BJ003,4,new
BJ010,"Rhinestone Rings, Black Décor — 15 Pieces",jewelry,rings,7,,5,,BJ010,4,new
BJ011,"Rhinestone Rings, Yellow Gold — 13 Pieces",jewelry,rings,5,,5,,BJ011,4,new
SG-AIRFORCE,"Air Force Aviator Sunglasses, Silver Frame — Unisex",eyewear,sunglasses,8,,5,,SG-AIRFORCE,3,new
SG-GISELLE,Giselle Women's Sunglasses,eyewear,sunglasses,6.99,,5,,SG-GISELLE,3,new
SG-LOCS,LOCS Hardcore Shades — Classic Rectangular,eyewear,sunglasses,12.99,,5,,SG-LOCS,3,new
SG-EY3-UV400,EY3 Identification Sunglasses — UV400,eyewear,sunglasses,11.99,,5,,SG-EY3-UV400,3,new
